name,vote_1,vote_2,age,agency,comment
니와 시오리,23045.0,,22.0,MAJESTY(마제스티) ,大すきK-POP
편강윤,21908.0,,24.0,M2 project,해맑은 B형 여자
이수현,21762.0,228806.0,20.0,SS,바른 생활 순두부녀
이수현,21762.0,228806.0,20.0,Happyface(해피페이스),오구오구! 댄싱 귀요미
김홍은,21598.0,,17.0,Happyface(해피페이스),우월 유전자 제2의 정자매
김도희,21485.0,,19.0,블레싱  ,내 나이 열아홉! 믿어주세요
김설아,21394.0,,25.0,이큐브 미디어,슈퍼스타K6 엘사녀
오한아름,21245.0,,18.0,블레싱  ,사랑을 한아름 주세요
김윤지,21206.0,,20.0,Star Empire(스타제국),스타제국 군기반장
이서정,21018.0,,16.0,LOUDers(라우더스),따거! 댄스계의 황비홍
김자연,20932.0,,25.0,Happyface(해피페이스),시선 강탈 볼매녀
이채린,20868.0,,17.0,MIDAS(마이다스) ,여덕 몰러 나간다!
최유빈,20829.0,,17.0,MIDAS(마이다스) ,엄빠미소 유발자
캐서린 리,20807.0,,15.0,MIDAS(마이다스) ,마성의 중국 소녀
신혜현,20752.0,,17.0,MIDAS(마이다스) ,덕통사고 조심!
남수진,20189.0,,21.0,매직 프레쉬컴퍼니,러블리 눈웃음 장착
김솔이,19899.0,,15.0,블레싱  ,자이언트 베이비
이세흔,18731.0,,17.0,NEXTLEVEL(넥스트레벨),춤추는 츤데레녀 
방준희,18579.0,,18.0,블레싱  ,준희에게 투표해 주니?
윤유담,18206.0,,19.0,FM ,포스트 현아는 내가 내가 해!
김보선,18034.0,,22.0,LOUDers(라우더스),노력파 독종 언니
문현주,16736.0,,18.0,넥스타,모태 9등신
임경하,0.0,,19.0,Astory(애스토리),태연 언니처럼 될 거야
마은진,0.0,,19.0,클리어 컴퍼니,좌절 금지 사생결단
김하윤,0.0,,22.0,101 DOORS,버블시스터즈의 그녀
