name,agency,vote_1,vote_2,expo_1,expo_2,imp_1,imp_2,neg_1,order_name,order_agency,level_1,level_2,age,height,visual,agency_category,id,thumb_pic_url,agency_member_count,is_ranker_same_agency_1,is_ranker_same_agency_2
임나영,PLEDIS(플레디스),107785,665898,24,18,7,1,0,0,0,4,5,21,171.0,0,3,138,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/9c9927c0-88bb-4656-877b-4a54048c2736-4-5-플레디스-임나영.png,7,1,1
안예슬,MAJESTY(마제스티) ,106322,301814,34,65,4,46,0,0,0,4,4,21,161.0,0,2,100,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/8836a51c-cf1e-44d8-9d8c-031e95edeb5a-3-14-마제스티-안예슬.png,2,0,0
박시연,PLEDIS(플레디스),105963,372295,16,61,7,0,0,0,0,4,4,16,163.0,1,3,139,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/1ad17c2b-c24b-429d-a049-f825becbbdba-4-4-플레디스-박시연.png,7,1,1
조시윤,DSP,102110,146681,25,7,22,9,0,0,1,2,2,20,160.0,0,3,61,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/64890397-14c6-41de-9531-d2c7ce723edb-2-2.DSP-조시윤.png,2,0,0
강예빈,PLEDIS(플레디스),88277,250556,62,19,14,3,0,1,0,5,5,18,162.5,0,3,141,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/96b8a1d0-6aaa-4bff-9544-561af602ce2a-4-2-플레디스-강예빈.png,7,1,1
윤서형,&August(&어거스트),73558,187021,198,4,55,1,0,0,1,1,2,21,163.0,0,2,74,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/5cbf421e-e4da-4987-8364-d40fc4bd6d72-2-14.앤어거스트-윤서형.png,1,0,0
김서경,개인연습생,72474,300125,42,18,0,8,0,0,0,4,5,17,155.0,0,1,169,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/874fd9ff-31e6-46ac-99d2-a003d9b4f51b-5-8-개인-연습생-김서경.png,1,0,0
강경원,PLEDIS(플레디스),71200,118171,12,2,3,0,0,1,0,3,2,19,170.0,0,3,142,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/7c960bd7-2c6b-471d-8a61-7e167ab6329a-4-1-플레디스-강경원.png,7,1,1
이수현,SS,65610,228806,5,16,0,2,0,0,0,2,5,20,167.0,0,2,47,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/1e4c5b2e-040c-4ee9-9c88-7f90b1096a47-8.SS-이수현.png,3,0,0
김태하,스타쉽 ,64149,117208,36,23,14,0,0,0,0,4,2,18,163.0,0,3,65,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/d2c43d90-20c4-4537-8571-a0ba67a916cd-2-3.스타쉽-김태하.png,3,0,1
김민지,Kconic(케이코닉),63132,133093,2,9,0,24,0,0,0,2,1,23,160.0,0,2,71,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/dc5f847d-c102-4080-8997-6de8da5b4016-2-8.케이코닉-김민지.png,4,0,0
김시현,개인연습생,60090,150271,0,35,0,0,0,0,0,1,2,17,168.0,0,1,168,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/c70f54bc-ce88-422d-b84a-0132205102f2-5-9-개인-연습생-김시현.png,1,0,0
황인선,쇼웍스 ,59736,256387,104,37,4,11,0,0,0,2,3,27,165.0,0,2,219,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/925ffefd-a26f-4b50-8314-40227b3900f8-7-2-쇼웍스-황인선.png,1,0,0
김형은,Kconic(케이코닉),59191,332712,31,9,2,24,0,0,0,3,4,22,160.0,0,2,70,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/4cc85901-be8f-4f67-856f-fa4d278c3c7e-2-9.케이코닉-김형은.png,4,0,0
이윤서,CUBE,56821,73702,2,15,10,4,0,0,1,1,4,14,162.0,0,3,163,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/4937687d-b12f-4254-bbe8-33d3c803180b-5-2-CUBE-이윤서.png,3,1,0
강시원,개인연습생,56224,206504,47,24,2,1,0,1,0,1,3,20,173.0,0,1,171,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/f64d9b15-f83e-42e3-b728-b374fef9a424-5-6-개인-연습생-강시원.png,1,0,0
이해인,SS,52494,461050,85,66,3,3,0,0,0,3,5,22,165.0,0,2,46,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/dc037873-44ef-44e5-8238-f98c628d23ea-9.SS-이해인.png,3,0,0
오서정,M&H,51381,117986,121,3,1,52,1,0,0,4,5,21,164.0,0,2,102,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/de355c9a-43f6-4597-915d-346c82094bef-3-16-M&H-오서정.png,2,0,0
김민경,PLEDIS(플레디스),50652,141623,9,6,4,0,0,0,0,1,4,19,172.0,0,3,140,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/a59921db-b3a6-4c54-ae3d-1f2993d13b37-4-3-플레디스-김민경.png,7,1,1
박해영,투에이블컴퍼니,47662,172797,2,4,0,0,0,0,0,5,4,18,165.0,0,2,221,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/78ca0f15-0600-47c6-8d93-979241e7cfe0-7-4-투에이블-컴퍼니-박해영.png,1,0,0
정해림,판타지오,43960,119148,16,4,5,26,0,0,0,3,3,18,161.0,0,3,43,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/dd925ac5-a477-4e00-9b4b-3b87b47986cd-4.판타지오-정해림.png,5,1,1
이수민,판타지오,43932,243513,36,46,0,26,0,0,0,1,5,17,166.0,0,3,44,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/6e0ff92a-ea78-46c0-9ca0-dc9ebcdb8392-3.판타지오-이수민.png,5,1,1
박가을,Astory,41873,103784,3,9,1,1,0,0,1,4,3,17,164.0,0,2,173,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/1ceca161-72dc-41e1-8cdb-cf22b9a9276b-5-11-Astory-박가을.png,1,0,0
이진희,Kconic(케이코닉),41286,99712,35,29,4,36,0,0,0,2,1,25,165.0,0,2,68,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/3c80e066-f2fe-4f46-bba8-1035244619f0-2-11.케이코닉-이진희.png,4,0,0
아리요시 리사,티핑 ,41244,95712,115,21,0,80,0,0,0,1,1,23,157.0,0,2,49,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/58a8835a-53b0-48ff-989f-b37322138e3b-10.티핑-아리요시리사(수정).png,1,0,0
박세희,Kconic(케이코닉),41203,133442,36,28,3,26,0,0,0,3,1,23,161.0,0,2,69,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/25f2c15d-7f6b-4929-95a2-b8c773aaeeac-2-10.케이코닉-박세희.png,4,0,0
추예진,판타지오,41048,126296,2,4,1,21,0,0,0,1,1,15,160.0,0,3,41,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/156d0843-545d-4887-ae99-503f8c0f5c81-6.판타지오-추예진.png,5,1,1
김민정,개인연습생,39033,127877,0,7,0,1,0,0,0,2,1,14,152.0,0,1,170,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/5590e077-a97e-462c-bb90-dad6df11f64c-5-7-개인-연습생-김민정.png,1,0,0
김연경,MIDAS(마이다스) ,38506,74668,0,30,0,1,0,0,0,3,3,20,168.0,0,2,99,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/b5c6e84f-8e75-416c-bb47-944302f15f5b-3-7-마이다스-김연경.png,6,0,0
임정민,YAMA&HOTCHICKS(야마&핫칙스),36760,88074,18,16,0,2,0,0,0,4,4,16,160.0,0,2,66,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/323f922f-43c1-46b9-9ed5-47b47f87c3e1-2-6.야마앤핫칙스-임정민.png,1,0,0
박하이,케니스타,34459,106057,31,3,19,2,0,0,0,1,2,28,165.0,0,2,67,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/a3219a6d-fddf-4d66-ad6f-eef534ed3fb2-2-7.케니스타-박하이.png,1,0,0
성혜민,개인연습생,33641,329366,113,6,7,2,0,0,0,2,1,27,169.0,0,1,167,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/546823c3-1089-493e-a168-17ff917f55a0-5-10-개인-연습생-성혜민.png,1,0,0
